crash_date,crash_level,crash_record,crash_address,crash_impaired,num_vehicles,acc_persons,pedestrians,latitude,longitude
5/19/2023 6:30,Property,20230293348,Nolensville Pke & Holt Rd,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.0142,-86.7049
5/19/2023 7:25,Property,20230293450,Murfreesboro Pke & Hamilton Church Rd,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.0648,-86.6285
5/19/2023 7:30,Property,20230293464,Bell Rd & Murfreesboro Pke,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.0697,-86.6369
5/19/2023 7:40,Property,20230293504,Mm 74 6 I 65,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.0388,-86.7828
5/19/2023 7:40,Property,20230293574,Lafayette St & Murfreesboro Pke,No Impaired Drivers,1 Vehicle,2 Persons,No Pedestrians,36.1468,-86.7563
5/19/2023 8:00,Property,20230293507,Dickerson Pke & Yoest Dr,No Impaired Drivers,1 Vehicle,2 Persons,No Pedestrians,36.2741,-86.7532
5/19/2023 8:39,Property,20230293599,Charlotte Pke & Orlando Av,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.1505,-86.8566
5/19/2023 8:55,Property,20230293598,Rosa L Parks Blvd & Athens Way,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.193,-86.8021
5/19/2023 9:51,Injury,20230293716,Nationsbank Plz & 5th Avn,No Impaired Drivers,2 Vehicles,3 Persons,1 Pedestrian,36.1654,-86.7813
5/19/2023 11:11,Property,20230293855,Franklin Pke & 8th Avs,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1286,-86.7779
5/19/2023 11:30,Property,20230294235,Hillsboro Pke & I440 W Ent Ramp,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.1242,-86.8063
5/19/2023 11:40,Property,20230293871,0 6th Avn,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1756,-86.7898
5/19/2023 11:54,Property,20230293890,Mm 91 7 I 65,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.2568,-86.7383
5/19/2023 12:20,Property,20230294081,I40 E Ext Ramp & I 40,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1441,-86.6966
5/19/2023 12:40,Property,20230293961,Combs Dr & Silas Dr,No Impaired Drivers,2 Vehicles,5 Persons,No Pedestrians,36.2162,-86.7903
5/19/2023 13:27,Property,20230294284,12th Avs & Laurel St,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.154,-86.7858
